Name of Member,Party Name,Party Full Name,Constituency,State
"Adhalrao Patil,Shri Shivaji",Shiv Sena,Shiv Sena,Shirur,Maharashtra
"Adhikari,Shri Deepak (Dev)",TMC,All India Trinamool Congress,Ghatal,West Bengal
"Adhikari,Shri Sisir Kumar",TMC,All India Trinamool Congress,Kanthi,West Bengal
"Adityanath ,Shri Yogi",BJP,Bharatiya Janata Party,Gorakhpur,Uttar Pradesh
"Adsul,Shri Anandrao",Shiv Sena,Shiv Sena,Amravati,Maharashtra
"Advani,Shri Lal Krishna",BJP,Bharatiya Janata Party,Gandhinagar,Gujarat
"Agrawal,Shri Rajendra",BJP,Bharatiya Janata Party,Meerut,Uttar Pradesh
"Ahamed,Shri E.",Indian Union Muslim League,Indian Union Muslim League,Malappuram,Kerala
"Ahir,Shri Hansraj Gangaram",BJP,Bharatiya Janata Party,Chandrapur,Maharashtra
"Ahlawat,Smt. Santosh",BJP,Bharatiya Janata Party,Jhunjhunu,Rajasthan
"Ahluwalia,Shri S.S.",BJP,Bharatiya Janata Party,Darjeeling,West Bengal
"Ahmed,Shri Sultan",TMC,All India Trinamool Congress,Uluberia,West Bengal
"Ajmal,Maulana Badruddin",All India United Democratic Front,All India United Democratic Front,Dhubri,Assam
"Ajmal,Shri Sirajuddin",All India United Democratic Front,All India United Democratic Front,Barpeta,Assam
"Ali,Shri Idris",TMC,All India Trinamool Congress,Basirhat,West Bengal
"Ananth Kumar,Shri",BJP,Bharatiya Janata Party,Bangalore,South Karnataka
"Angadi,Shri Suresh Chanabasappa",BJP,Bharatiya Janata Party,Belgaum,Karnataka
"Anil (alias Padmakar) Gulabrao, Shirole, Shri",BJP,Bharatiya Janata Party,Pune,Maharashtra
"Antony,Shri Anto",INC,Indian National Congress,Pathanamthitta,Kerala
"Anwar ,Shri Tariq",NCP,Nationalist Congress Party,Katihar,Bihar
"Arunmozhithevan,Shri A.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Cuddalore,Tamil Nadu
"Ashokkumar,Shri K.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Krishnagiri,Tamil Nadu
"Ashwini Kumar,Shri",BJP,Bharatiya Janata Party,Karnal,Haryana
"Azad,Shri Kirti (JHA)",BJP,Bharatiya Janata Party,Darbhanga,Bihar
