Name,Party,State
"Abdul Wahab, Shri",IUML,Kerala
"Abraham, Shri Joy",KC(M),Kerala
"Acharya, Shri Prasanna",BJD,Odisha
"Aga, Ms. Anu",NOM.,Nominated
"Agrawal, Shri Naresh",SP,Uttar Pradesh
"Akbar, Shri M. J.",BJP,Madhya Pradesh
"Ali, Shri Munquad",BSP,Uttar Pradesh
"Anand Sharma, Shri",INC,Himachal Pradesh
"Ansari, Shri Ali Anwar",JD(U),Bihar
"Antony, Shri A.K.",INC,Kerala
"Arjunan, Shri K. R.",AIADMK,Tamil Nadu
"Ashok Siddharth, Shri",BSP,Uttar Pradesh
"Athawale, Shri Ramdas",RPI(A),Maharashtra
"Azad, Shri Ghulam Nabi",INC,Jammu & Kashmir
"Babbar, Shri Raj",INC,Uttarakhand
"Bachchan, Smt. Jaya",SP,Uttar Pradesh
"Baidya, Smt. Jharna Das",CPI(M),Tripura
"Bajwa, Shri Partap Singh",INC,Punjab
"Balasubramoniyan, Shri S.R.",AIADMK,Tamil Nadu
"Balmuchu, Dr. Pradeep Kumar",INC,Jharkhand
"Bandyopadhyay, Shri D.",AITC,West Bengal
"Banerjee, Shri Ritabrata",CPI(M),West Bengal
"Batra, Shri Shadi Lal",INC,Haryana
"Bharathi, Shri R.S.",DMK,Tamil Nadu
"Bharti, Smt. Misha",RJD,Bihar
"Bhattacharya, Shri P.",INC,West Bengal
"Bhunder, Sardar Balwinder Singh",SAD,Punjab
"Biswal, Shri Ranjib",INC,Odisha
"Bora, Shri Ripun",INC,Assam
"Budania, Shri Narendra",INC,Rajasthan
"Chakraborty, Shri Mithun",AITC,West Bengal
"Chandrasekhar, Shri Rajeev",IND.,Karnataka
"Chaturvedi, Shri Satyavrat",INC,Madhya Pradesh
"Chavan, Smt. Vandana",NCP,Maharashtra
"Chhatrapati, Shri Sambhaji Shahu",NOM.,Nominated
"Chidambaram, Shri P.",INC,Maharashtra
"Chiranjeevi, Dr. K.",INC,Andhra Pradesh
"Chowdary, Shri Y. S.",TDP,Andhra Pradesh
"Chowdhury, Prof. Jogen",AITC,West Bengal
"Chowdhury, Smt. Renuka",INC,Andhra Pradesh
"Daimary, Shri Biswajit",BPF,Assam
"Dalwai, Shri Husain",INC,Maharashtra
"Das, Shri Bishnu Charan",BJD,Odisha
"Dasgupta, Shri Swapan",NOM.,Nominated
"Dave, Shri Anil Madhav",BJP,Madhya Pradesh
"Deo, Shri A.U. Singh",BJD,Odisha
"Desai, Shri Anil",SS,Maharashtra
"Dhindsa, Sardar Sukhdev Singh",SAD,Punjab
"Dhoot, Shri Rajkumar",SS,Maharashtra
"Dudi, Shri Ram Narain",BJP,Rajasthan
"Dullo, Shri Shamsher Singh",INC,Punjab
"Dungarpur, Shri Harshvardhan Singh",BJP,Rajasthan
"Dwivedi, Shri Janardan",INC,National Capital Territory of Delhi
"Elangovan, Shri T.K.S.",DMK,Tamil Nadu
"Fayaz, Mir Mohammad",J&K PDP,Jammu & Kashmir
"Fernandes, Shri Oscar",INC,Karnataka
